Month,Channel,ROI
Jan,Email,420
Jan,SEO,200
Jan,Paid Ads,150
Jan,Social Media,180
Jan,Referrals,250
Jan,Display Ads,100
Jan,Influencers,220
Feb,Email,410
Feb,SEO,210
Feb,Paid Ads,160
Feb,Social Media,175
Feb,Referrals,240
Feb,Display Ads,120
Feb,Influencers,230
Mar,Email,430
Mar,SEO,205
Mar,Paid Ads,155
Mar,Social Media,185
Mar,Referrals,260
Mar,Display Ads,110
Mar,Influencers,225
Apr,Email,400
Apr,SEO,195
Apr,Paid Ads,140
Apr,Social Media,170
Apr,Referrals,245
Apr,Display Ads,105
Apr,Influencers,215
May,Email,415
May,SEO,210
May,Paid Ads,150
May,Social Media,190
May,Referrals,255
May,Display Ads,115
May,Influencers,235
Jun,Email,420
Jun,SEO,220
Jun,Paid Ads,165
Jun,Social Media,185
Jun,Referrals,260
Jun,Display Ads,125
Jun,Influencers,240
Jul,Email,430
Jul,SEO,215
Jul,Paid Ads,160
Jul,Social Media,195
Jul,Referrals,270
Jul,Display Ads,130
Jul,Influencers,245
Aug,Email,440
Aug,SEO,225
Aug,Paid Ads,170
Aug,Social Media,200
Aug,Referrals,265
Aug,Display Ads,135
Aug,Influencers,250
Sep,Email,450
Sep,SEO,230
Sep,Paid Ads,175
Sep,Social Media,205
Sep,Referrals,275
Sep,Display Ads,140
Sep,Influencers,255
Oct,Email,460
Oct,SEO,240
Oct,Paid Ads,180
Oct,Social Media,210
Oct,Referrals,280
Oct,Display Ads,145
Oct,Influencers,260
Nov,Email,470
Nov,SEO,235
Nov,Paid Ads,185
Nov,Social Media,215
Nov,Referrals,285
Nov,Display Ads,150
Nov,Influencers,265
Dec,Email,480
Dec,SEO,245
Dec,Paid Ads,190
Dec,Social Media,220
Dec,Referrals,290
Dec,Display Ads,155
Dec,Influencers,270
